Policy,Value,Type,Key,Name
Block Computer Settings,1,DWord,HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoControlPanel
Block Computer Settings,1,DWord,HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\ActiveDesktop,NoChangingWallPaper
Block Computer Settings,1,DWord,HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoThemesTab
Block Computer Settings,1,DWord,HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall,NoAddRemovePrograms
Block Computer Settings,1,DWord,HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\ActiveDesktop,NoChangingWallPaper
Block Computer Settings,C:\Windows\Web\Wallpaper\Theme1\img4.jpg,String,HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\System,Wallpaper
Block Computer Settings,1,DWord,HKCU\Software\Policies\Microsoft\Windows\System,DisableCMD
Block Removable Media Devices,1,DWord,HKCU\Software\Policies\Microsoft\Windows\RemovableStorageDevices,Deny_All
No Automatic System Restart,1,DWord,HKLM\Software\Policies\Microsoft\Windows\WindowsUpdate\AU,NoAutoRebootWithLoggedOnUsers

